,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,"Albuquerque, NM",41820.0,43021.0,43677.0,46437.0,44594.0,46079.0,43606.0,45373.0,48357.0,46433.0,47096.0,50522.0,50456.0,51099.0,55567.0,53936.0,58512.0,64757.0,67907.0
1,"Atlanta, GA",39752.0,41612.0,47153.0,48865.0,49981.0,41631.0,43903.0,46466.0,46485.0,46777.0,50210.0,53843.0,57597.0,65345.0,66657.0,64179.0,74107.0,83251.0,85880.0
2,"Austin, TX",43731.0,47212.0,48966.0,51372.0,50132.0,47434.0,49987.0,52453.0,56351.0,58458.0,62250.0,66697.0,67755.0,71543.0,75413.0,75752.0,79542.0,89415.0,91501.0
3,"Baltimore, MD",32456.0,36031.0,36949.0,40313.0,38772.0,38346.0,38721.0,39241.0,42266.0,42665.0,44165.0,47350.0,47131.0,51000.0,50177.0,52164.0,54652.0,55198.0,59579.0
4,"Boston, MA",42562.0,47974.0,50476.0,51688.0,55979.0,49893.0,49081.0,51642.0,53583.0,56902.0,58263.0,63621.0,66758.0,71834.0,79018.0,76298.0,79283.0,86331.0,96931.0
5,"Charlotte, NC",47131.0,48670.0,52690.0,52530.0,49779.0,49616.0,50177.0,50950.0,51034.0,55178.0,53919.0,61017.0,61350.0,60764.0,63483.0,65359.0,70869.0,74401.0,80581.0
6,"Chicago, IL",41015.0,43223.0,45505.0,46911.0,45734.0,44776.0,43628.0,45214.0,47099.0,48734.0,50702.0,53006.0,55295.0,57238.0,61811.0,62097.0,66576.0,70386.0,74474.0
7,"Columbus, OH",40405.0,40074.0,42253.0,44369.0,41370.0,41397.0,40463.0,43844.0,44426.0,46481.0,47401.0,49602.0,51708.0,52971.0,57118.0,54902.0,58202.0,61727.0,62350.0
8,"Dallas, TX",36403.0,38276.0,40986.0,40796.0,39829.0,40650.0,40585.0,41354.0,41978.0,43003.0,45918.0,47243.0,50627.0,52210.0,55332.0,54747.0,57995.0,65400.0,70121.0
9,"Denver, CO",42370.0,40900.0,44444.0,45831.0,46410.0,45074.0,47371.0,50488.0,51089.0,54941.0,58003.0,61105.0,65224.0,68377.0,75646.0,72661.0,81630.0,88213.0,94157.0
10,"Detroit, MI",28069.0,28364.0,28097.0,28730.0,26098.0,25787.0,25193.0,23600.0,24820.0,25769.0,25980.0,28099.0,30344.0,31283.0,33965.0,32498.0,36140.0,36453.0,38080.0
11,"El Paso, TX",32205.0,33103.0,35646.0,37600.0,37030.0,37278.0,40702.0,40974.0,41129.0,41221.0,45069.0,43200.0,44754.0,45031.0,48542.0,48866.0,51241.0,52645.0,57317.0
12,"Fresno, CA",37800.0,40328.0,44513.0,40134.0,43223.0,41144.0,40533.0,38386.0,40179.0,39880.0,43494.0,44905.0,48600.0,49813.0,53161.0,53368.0,61250.0,64196.0,67603.0
13,"Houston, TX",36894.0,39682.0,40856.0,44315.0,42945.0,42355.0,42877.0,42847.0,45353.0,45460.0,48064.0,47793.0,50896.0,51203.0,52450.0,53600.0,55499.0,60426.0,62637.0
14,"Jacksonville, FL",44173.0,45285.0,48699.0,50476.0,46312.0,45584.0,44802.0,42800.0,47424.0,44591.0,48239.0,51298.0,51497.0,54269.0,56975.0,55531.0,58621.0,69309.0,68069.0
15,"Las Vegas, NV",47863.0,53000.0,54357.0,53097.0,50935.0,50783.0,46995.0,47415.0,49289.0,50291.0,49676.0,51115.0,56699.0,53575.0,58713.0,58377.0,59746.0,68905.0,73784.0
16,"Los Angeles, CA",42667.0,44445.0,47781.0,48882.0,48617.0,47031.0,46148.0,46803.0,48466.0,50544.0,52024.0,54432.0,60197.0,62474.0,67418.0,65290.0,70372.0,76135.0,79701.0
17,"Memphis, TN",33244.0,32594.0,35143.0,37207.0,34203.0,37045.0,34960.0,33563.0,36722.0,34704.0,36908.0,38826.0,39333.0,37199.0,43794.0,41864.0,44317.0,50622.0,51399.0
18,"Milwaukee, WI",32666.0,33990.0,35281.0,37331.0,34868.0,32911.0,33122.0,34042.0,35186.0,35049.0,37495.0,38097.0,39098.0,42087.0,44192.0,43125.0,46637.0,49270.0,52992.0
19,"Omaha, NE",40484.0,42321.0,45170.0,44358.0,46595.0,43813.0,45536.0,45159.0,47512.0,48410.0,51407.0,52672.0,56406.0,59266.0,61305.0,62213.0,62948.0,67450.0,71238.0
20,"Philadelphia, PA",32573.0,33229.0,35365.0,36976.0,37045.0,34400.0,34207.0,35386.0,36836.0,39043.0,41233.0,41449.0,39759.0,46116.0,47474.0,49127.0,52899.0,56517.0,60302.0
21,"Phoenix, AZ",42353.0,46645.0,48061.0,50140.0,47085.0,42260.0,43960.0,44153.0,46601.0,47929.0,48452.0,52062.0,56696.0,57957.0,60931.0,60914.0,68435.0,75969.0,79664.0
22,"Portland, OR",42287.0,44273.0,47143.0,50979.0,50203.0,47185.0,47033.0,52158.0,55571.0,54624.0,60892.0,62127.0,66187.0,73097.0,76231.0,73159.0,79057.0,81119.0,86057.0
23,"Raleigh, NC",48131.0,51123.0,51071.0,53825.0,51969.0,49931.0,52040.0,53653.0,55170.0,53475.0,56910.0,64456.0,64660.0,65695.0,69333.0,69720.0,74612.0,75424.0,86309.0
