Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type,Date
"Atlanta, GA","Houston, TX","$1,201.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Jacksonville, FL",$391.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Jacksonville, FL",$412.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Jacksonville, FL",$515.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Jacksonville, FL",$617.00,26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Minneapolis, MN","$1,349.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Minneapolis, MN","$1,420.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Minneapolis, MN","$1,775.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Minneapolis, MN","$2,129.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Omaha, NE",$761.00,10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Omaha, NE",$801.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Omaha, NE",$961.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Omaha, NE","$1,201.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Orlando, FL","$2,505.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Orlando, FL","$2,637.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Orlando, FL","$3,692.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Orlando, FL","$5,275.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Philadelphia, PA","$2,243.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Philadelphia, PA","$2,361.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Philadelphia, PA","$2,833.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Philadelphia, PA","$3,541.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Atlanta, GA","Phoenix, AZ","$2,150.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Atlanta, GA","Phoenix, AZ","$2,263.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Atlanta, GA","Phoenix, AZ","$2,490.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Atlanta, GA","Phoenix, AZ","$2,828.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Pittsburgh, PA","$1,962.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Pittsburgh, PA","$2,065.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Pittsburgh, PA","$2,478.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Pittsburgh, PA","$3,098.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Portland, OR","$1,722.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Portland, OR","$1,813.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Portland, OR","$2,175.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Portland, OR","$2,719.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Raleigh, NC","$2,137.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Raleigh, NC","$2,249.00",15' Truck,1 Bedroom Home to 2 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Raleigh, NC","$2,699.00",20' Truck,2 Bedroom Home to 3 Bedroom Apt.,09/28/2024
"Albuquerque, NM","Raleigh, NC","$3,374.00",26' Truck,3 Bedroom Home to 4 Bedroom Home,09/28/2024
"Albuquerque, NM","Minneapolis, MN","$1,349.00",10' Truck,Studio to 1 Bedroom Apt.,09/28/2024
